SUBCOUNTY,Actual,Predicted
Cherangany,107802,104551.70996428574
Cherangany,110783,107978.15786309523
Cherangany,94669,98631.77174404767
Cherangany,111578,110287.68363095241
Cherangany,78891,86043.90155952379
Cherangany,115706,113276.06359126985
Cherangany,115706,111784.23108531749
Cherangany,135878,107126.93263095246
Cherangany,110070,107029.08341865081
Cherangany,95925,100334.40331944445
Cherangany,134259,115815.45765476189
Endebess,71868,75956.00210515874
Endebess,73855,73352.23264285708
Endebess,63113,66712.86803571426
Endebess,66225,67386.17472619045
Endebess,74759,71422.5998928571
Endebess,123370,107113.8381190476
Endebess,69913,73744.8397380952
Endebess,108934,91574.7103015873
Endebess,72493,75471.25739682537
Endebess,75023,70775.4666190476
Endebess,73697,74719.99997023809
Kiminini,88141,77236.04748809524
Kiminini,90578,84225.36788095237
Kiminini,77403,75053.95088095235
Kiminini,71146,70335.14768452375
Kiminini,50805,64907.797315476164
Kiminini,77427,77184.7416428571
Kiminini,80750,79463.96350595234
Kiminini,67655,70219.57419047618
Kiminini,73210,78587.75301785712
Kiminini,71339,72024.06313690476
Kiminini,77040,75865.67668452379
Kwanza,101486,98927.06938690481
Kwanza,104293,102012.78127579362
Kwanza,89123,87436.87489880952
Kwanza,11460,44688.30165476192
Kwanza,76950,72409.25524999997
Kwanza,115449,106667.48154761909
Kwanza,101990,89859.36789285712
Kwanza,109989,103645.56758333337
Kwanza,88489,92204.81452579363
Kwanza,48852,73813.31718452377
Kwanza,89707,87050.06908928571
Saboti,71868,71618.76610714287
Saboti,73855,72720.70771230159
Saboti,63113,64618.566529761905
Saboti,66225,67153.02535714285
Saboti,7125,37703.48814285715
Saboti,70720,69818.72068849206
Saboti,58140,64737.59819642857
Saboti,66600,65943.64420833332
Saboti,56140,65246.07823809525
Saboti,48852,55555.574636904785
Saboti,73308,69889.21173214282
